Emotion,Labels,ID_NO,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6095,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6005,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6007,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6002,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6033,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6110,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6029,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6082,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6118,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6031,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6084,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6023,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6041,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6027,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6009,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6114,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6066,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6009,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6128,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6042,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6017,,,,,,,,,,,,,,,,,,,,
Negative,caregiving challenges,6045,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6026,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6103,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6066,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6125,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6015,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6144,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6013,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6138,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6128,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6131,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6099,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6020,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,Tester,,,,,,,,,,,,,,,,,,,,
Negative,own health+not feeling well,6083,,,,,,,,,,,,,,,,,,,,
